TimeStamp,cmd,ad,r,xc,snr,dbv,TimeStamp,tat,twt
2024-09-16 20:32:38,ALS,2603,4.545055,66.0,9.0,-18.0,2024-09-16 20:32:38,440,4.105054999999999
2024-09-17 00:32:38,ALS,2603,4.867355,50.0,2.0,-23.0,2024-09-17 00:32:38,440,4.4273549999999995
2024-09-17 03:32:38,ALS,2601,3.239337,57.0,6.0,-22.0,2024-09-17 03:32:38,200,3.0393369999999997
2024-09-17 11:32:38,ALS,2601,4.918635999999999,54.0,4.0,-24.0,2024-09-17 11:32:38,200,4.718635999999999
2024-09-17 19:47:38,ALS,2602,4.4834249999999995,73.0,8.0,-18.0,2024-09-17 19:47:38,320,4.163424999999999
2024-09-17 22:54:39,ALS,2601,4.372936999999999,83.0,12.0,-15.0,2024-09-17 22:54:39,200,4.172936999999999
2024-09-17 23:01:40,ALS,2601,4.436837,70.0,10.0,-16.0,2024-09-17 23:01:40,200,4.2368369999999995
2024-09-17 23:08:39,ALS,2601,4.525881,74.0,2.0,-17.0,2024-09-17 23:08:39,200,4.325881
2024-09-17 23:18:18,ALS,2601,4.696264,57.0,6.0,-19.0,2024-09-17 23:18:18,200,4.496264
2024-09-17 23:26:45,ALS,2601,4.864437,49.0,4.0,-22.0,2024-09-17 23:26:45,200,4.6644369999999995
2024-09-17 23:32:38,ALS,2601,4.973256,48.0,4.0,-22.0,2024-09-17 23:32:38,200,4.773256
